iter	Passed	Remaining
0	69	8313
1	140	8284
2	205	7996
3	278	8080
4	343	7909
5	412	7838
6	471	7611
7	546	7656
8	612	7551
9	682	7507
10	748	7415
11	815	7335
12	884	7277
13	964	7306
14	1039	7276
15	1116	7255
16	1186	7191
17	1250	7087
18	1322	7030
19	1402	7013
20	1483	6993
21	1567	6981
22	1640	6920
23	1710	6841
24	1775	6748
25	1842	6660
26	1907	6568
27	1968	6466
28	2043	6411
29	2115	6346
30	2199	6314
31	2279	6269
32	2349	6194
33	2415	6109
34	2481	6026
35	2548	5945
36	2614	5864
37	2684	5793
38	2758	5729
39	2835	5671
40	2912	5611
41	3001	5573
42	3080	5517
43	3160	5458
44	3263	5438
45	3355	5397
46	3430	5328
47	3520	5280
48	3598	5214
49	3686	5161
50	3764	5092
51	3827	5005
52	3902	4933
53	3974	4857
54	4045	4780
55	4108	4695
56	4169	4608
57	4244	4537
58	4313	4459
59	4378	4378
60	4443	4297
61	4503	4212
62	4566	4131
63	4629	4051
64	4700	3977
65	4762	3896
66	4833	3823
67	4895	3743
68	4963	3668
69	5031	3593
70	5096	3517
71	5161	3440
72	5233	3369
73	5292	3289
74	5357	3214
75	5424	3140
76	5496	3069
77	5566	2997
78	5637	2925
79	5702	2851
80	5764	2775
81	5835	2704
82	5896	2628
83	5961	2554
84	6019	2478
85	6084	2405
86	6147	2331
87	6210	2258
88	6269	2183
89	6338	2112
90	6402	2040
91	6462	1966
92	6522	1893
93	6584	1821
94	6650	1750
95	6712	1678
96	6771	1605
97	6833	1534
98	6899	1463
99	6959	1391
100	7022	1321
101	7081	1249
102	7145	1179
103	7206	1108
104	7273	1039
105	7328	967
106	7388	897
107	7448	827
108	7524	759
109	7585	689
110	7645	619
111	7703	550
112	7768	481
113	7832	412
114	7888	342
115	7954	274
116	8018	205
117	8076	136
118	8138	68
119	8206	0
